variable,op1,op2,n1,n2,n3,intermediate,answer,eq1,eq2,eqfull
d,*,-,2,7,9,14,5,d=2*7,d-9=,d=2*7. d-9=
l,-,+,5,8,9,-3,6,l=5-8,l+9=,l=5-8. l+9=
p,+,-,3,4,1,7,6,p=3+4,p-1=,p=3+4. p-1=
w,//,-,1,4,1,0,-1,w=1//4,w-1=,w=1//4. w-1=
n,//,+,8,5,1,1,2,n=8//5,n+1=,n=8//5. n+1=
y,+,+,9,5,3,14,17,y=9+5,y+3=,y=9+5. y+3=
w,*,+,9,5,2,45,47,w=9*5,w+2=,w=9*5. w+2=
g,//,*,7,6,7,1,7,g=7//6,g*7=,g=7//6. g*7=
g,+,*,4,4,4,8,32,g=4+4,g*4=,g=4+4. g*4=
k,*,+,5,4,1,20,21,k=5*4,k+1=,k=5*4. k+1=
j,+,+,1,6,7,7,14,j=1+6,j+7=,j=1+6. j+7=
r,*,+,5,4,6,20,26,r=5*4,r+6=,r=5*4. r+6=
h,-,+,3,3,5,0,5,h=3-3,h+5=,h=3-3. h+5=
o,+,//,4,1,8,5,0,o=4+1,o//8=,o=4+1. o//8=
c,//,-,7,8,2,0,-2,c=7//8,c-2=,c=7//8. c-2=
w,//,//,3,6,3,0,0,w=3//6,w//3=,w=3//6. w//3=
c,+,*,5,3,3,8,24,c=5+3,c*3=,c=5+3. c*3=
m,+,+,4,6,8,10,18,m=4+6,m+8=,m=4+6. m+8=
e,//,+,2,8,7,0,7,e=2//8,e+7=,e=2//8. e+7=
t,*,//,8,2,8,16,2,t=8*2,t//8=,t=8*2. t//8=
a,//,//,9,1,1,9,9,a=9//1,a//1=,a=9//1. a//1=
c,*,//,3,9,8,27,3,c=3*9,c//8=,c=3*9. c//8=
u,*,+,1,7,3,7,10,u=1*7,u+3=,u=1*7. u+3=
w,*,+,3,7,7,21,28,w=3*7,w+7=,w=3*7. w+7=
r,-,-,9,2,4,7,3,r=9-2,r-4=,r=9-2. r-4=
j,+,//,6,8,4,14,3,j=6+8,j//4=,j=6+8. j//4=
w,//,+,9,1,9,9,18,w=9//1,w+9=,w=9//1. w+9=
j,-,+,6,4,7,2,9,j=6-4,j+7=,j=6-4. j+7=
q,-,-,8,9,5,-1,-6,q=8-9,q-5=,q=8-9. q-5=
i,+,*,2,6,1,8,8,i=2+6,i*1=,i=2+6. i*1=
x,//,//,4,2,3,2,0,x=4//2,x//3=,x=4//2. x//3=
k,+,*,4,3,6,7,42,k=4+3,k*6=,k=4+3. k*6=
w,-,*,4,6,6,-2,-12,w=4-6,w*6=,w=4-6. w*6=
i,-,-,1,5,4,-4,-8,i=1-5,i-4=,i=1-5. i-4=
a,+,*,6,3,6,9,54,a=6+3,a*6=,a=6+3. a*6=
z,*,//,6,2,1,12,12,z=6*2,z//1=,z=6*2. z//1=
w,//,-,2,7,4,0,-4,w=2//7,w-4=,w=2//7. w-4=
n,//,*,1,2,7,0,0,n=1//2,n*7=,n=1//2. n*7=
k,//,-,5,5,5,1,-4,k=5//5,k-5=,k=5//5. k-5=
j,+,//,5,4,6,9,1,j=5+4,j//6=,j=5+4. j//6=
w,-,*,5,3,2,2,4,w=5-3,w*2=,w=5-3. w*2=
v,*,-,3,1,5,3,-2,v=3*1,v-5=,v=3*1. v-5=
a,-,-,7,2,6,5,-1,a=7-2,a-6=,a=7-2. a-6=
l,+,//,4,6,3,10,3,l=4+6,l//3=,l=4+6. l//3=
m,-,-,5,6,8,-1,-9,m=5-6,m-8=,m=5-6. m-8=
y,-,+,2,8,2,-6,-4,y=2-8,y+2=,y=2-8. y+2=
e,*,*,6,5,2,30,60,e=6*5,e*2=,e=6*5. e*2=
g,+,-,2,6,2,8,6,g=2+6,g-2=,g=2+6. g-2=
u,//,+,9,5,6,1,7,u=9//5,u+6=,u=9//5. u+6=
x,+,-,1,1,7,2,-5,x=1+1,x-7=,x=1+1. x-7=
l,-,*,2,8,6,-6,-36,l=2-8,l*6=,l=2-8. l*6=
m,//,-,9,8,9,1,-8,m=9//8,m-9=,m=9//8. m-9=
x,+,-,8,6,8,14,6,x=8+6,x-8=,x=8+6. x-8=
r,-,*,1,7,7,-6,-42,r=1-7,r*7=,r=1-7. r*7=
w,+,*,4,2,6,6,36,w=4+2,w*6=,w=4+2. w*6=
h,+,+,8,7,9,15,24,h=8+7,h+9=,h=8+7. h+9=
b,*,//,8,3,3,24,8,b=8*3,b//3=,b=8*3. b//3=
y,*,*,9,7,5,63,315,y=9*7,y*5=,y=9*7. y*5=
x,-,-,6,2,9,4,-5,x=6-2,x-9=,x=6-2. x-9=
f,//,-,1,3,9,0,-9,f=1//3,f-9=,f=1//3. f-9=
a,*,-,8,8,2,64,62,a=8*8,a-2=,a=8*8. a-2=
j,*,*,4,2,2,8,16,j=4*2,j*2=,j=4*2. j*2=
d,//,*,6,4,8,1,8,d=6//4,d*8=,d=6//4. d*8=
y,+,-,3,5,9,8,-1,y=3+5,y-9=,y=3+5. y-9=
f,+,-,9,9,5,18,13,f=9+9,f-5=,f=9+9. f-5=
o,*,*,9,4,2,36,72,o=9*4,o*2=,o=9*4. o*2=
z,//,*,2,4,8,0,0,z=2//4,z*8=,z=2//4. z*8=
n,//,//,2,8,1,0,0,n=2//8,n//1=,n=2//8. n//1=
z,//,*,5,5,9,1,9,z=5//5,z*9=,z=5//5. z*9=
z,*,-,1,6,5,6,1,z=1*6,z-5=,z=1*6. z-5=
v,+,-,2,2,7,4,-3,v=2+2,v-7=,v=2+2. v-7=
f,+,-,4,1,9,5,-4,f=4+1,f-9=,f=4+1. f-9=
x,*,+,7,1,2,7,9,x=7*1,x+2=,x=7*1. x+2=
s,+,//,8,7,7,15,2,s=8+7,s//7=,s=8+7. s//7=
m,*,*,1,2,1,2,2,m=1*2,m*1=,m=1*2. m*1=
k,-,*,5,4,4,1,4,k=5-4,k*4=,k=5-4. k*4=
d,//,*,3,3,3,1,3,d=3//3,d*3=,d=3//3. d*3=
k,-,*,4,3,4,1,4,k=4-3,k*4=,k=4-3. k*4=
s,+,-,5,3,8,8,0,s=5+3,s-8=,s=5+3. s-8=
n,//,*,2,8,6,0,0,n=2//8,n*6=,n=2//8. n*6=
a,-,+,4,2,3,2,5,a=4-2,a+3=,a=4-2. a+3=
m,//,-,4,2,9,2,-7,m=4//2,m-9=,m=4//2. m-9=
h,*,*,1,1,8,1,8,h=1*1,h*8=,h=1*1. h*8=
k,*,-,2,3,3,6,3,k=2*3,k-3=,k=2*3. k-3=
r,*,+,5,8,1,40,41,r=5*8,r+1=,r=5*8. r+1=
w,//,*,7,3,8,2,16,w=7//3,w*8=,w=7//3. w*8=
p,-,-,2,8,8,-6,-14,p=2-8,p-8=,p=2-8. p-8=
w,+,*,5,9,4,14,56,w=5+9,w*4=,w=5+9. w*4=
g,//,-,9,3,8,3,-5,g=9//3,g-8=,g=9//3. g-8=
o,+,//,1,9,6,10,1,o=1+9,o//6=,o=1+9. o//6=
e,//,*,5,4,4,1,4,e=5//4,e*4=,e=5//4. e*4=
m,//,-,2,1,9,2,-7,m=2//1,m-9=,m=2//1. m-9=
q,//,-,9,4,3,2,-1,q=9//4,q-3=,q=9//4. q-3=
m,*,+,1,5,9,5,14,m=1*5,m+9=,m=1*5. m+9=
z,*,//,6,5,8,30,3,z=6*5,z//8=,z=6*5. z//8=
r,//,-,7,1,8,7,-1,r=7//1,r-8=,r=7//1. r-8=
y,+,+,3,9,8,12,20,y=3+9,y+8=,y=3+9. y+8=
h,*,//,5,2,1,10,10,h=5*2,h//1=,h=5*2. h//1=
h,+,*,6,1,6,7,42,h=6+1,h*6=,h=6+1. h*6=
q,+,+,7,3,8,10,18,q=7+3,q+8=,q=7+3. q+8=
l,//,+,9,6,4,1,5,l=9//6,l+4=,l=9//6. l+4=
y,*,*,4,7,5,28,140,y=4*7,y*5=,y=4*7. y*5=
h,-,-,1,8,4,-7,-11,h=1-8,h-4=,h=1-8. h-4=
i,+,+,2,8,6,10,16,i=2+8,i+6=,i=2+8. i+6=
v,+,+,6,2,4,8,12,v=6+2,v+4=,v=6+2. v+4=
w,+,-,9,4,1,13,12,w=9+4,w-1=,w=9+4. w-1=
g,-,//,2,4,6,-2,-1,g=2-4,g//6=,g=2-4. g//6=
q,*,*,1,5,8,5,40,q=1*5,q*8=,q=1*5. q*8=
v,//,+,8,1,2,8,10,v=8//1,v+2=,v=8//1. v+2=
f,//,//,2,1,5,2,0,f=2//1,f//5=,f=2//1. f//5=
m,-,//,8,4,7,4,0,m=8-4,m//7=,m=8-4. m//7=
f,*,+,6,8,8,48,56,f=6*8,f+8=,f=6*8. f+8=
u,//,-,4,5,1,0,-1,u=4//5,u-1=,u=4//5. u-1=
u,+,-,7,7,4,14,10,u=7+7,u-4=,u=7+7. u-4=
j,*,+,8,2,8,16,24,j=8*2,j+8=,j=8*2. j+8=
u,-,*,6,8,9,-2,-18,u=6-8,u*9=,u=6-8. u*9=
c,//,+,8,8,9,1,10,c=8//8,c+9=,c=8//8. c+9=
u,//,+,4,8,2,0,2,u=4//8,u+2=,u=4//8. u+2=
t,+,*,4,3,2,7,14,t=4+3,t*2=,t=4+3. t*2=
t,-,//,8,6,1,2,2,t=8-6,t//1=,t=8-6. t//1=
k,//,+,8,9,2,0,2,k=8//9,k+2=,k=8//9. k+2=
a,*,*,4,8,7,32,224,a=4*8,a*7=,a=4*8. a*7=
t,//,-,1,5,9,0,-9,t=1//5,t-9=,t=1//5. t-9=
m,//,//,4,3,5,1,0,m=4//3,m//5=,m=4//3. m//5=
a,+,*,7,3,6,10,60,a=7+3,a*6=,a=7+3. a*6=
n,//,*,5,3,2,1,2,n=5//3,n*2=,n=5//3. n*2=
l,*,*,5,7,1,35,35,l=5*7,l*1=,l=5*7. l*1=
y,+,//,2,2,1,4,4,y=2+2,y//1=,y=2+2. y//1=
q,-,+,3,7,9,-4,5,q=3-7,q+9=,q=3-7. q+9=
o,//,+,6,5,2,1,3,o=6//5,o+2=,o=6//5. o+2=
n,+,+,3,3,3,6,9,n=3+3,n+3=,n=3+3. n+3=
q,//,+,9,7,5,1,6,q=9//7,q+5=,q=9//7. q+5=
d,+,-,5,7,2,12,10,d=5+7,d-2=,d=5+7. d-2=
y,-,*,9,8,5,1,5,y=9-8,y*5=,y=9-8. y*5=
q,-,+,6,2,4,4,8,q=6-2,q+4=,q=6-2. q+4=
i,*,//,6,7,7,42,6,i=6*7,i//7=,i=6*7. i//7=
d,+,*,1,8,4,9,36,d=1+8,d*4=,d=1+8. d*4=
t,*,//,6,4,4,24,6,t=6*4,t//4=,t=6*4. t//4=
m,+,*,3,3,2,6,12,m=3+3,m*2=,m=3+3. m*2=
s,*,-,7,9,3,63,60,s=7*9,s-3=,s=7*9. s-3=
h,+,-,9,8,9,17,8,h=9+8,h-9=,h=9+8. h-9=
p,-,+,8,6,9,2,11,p=8-6,p+9=,p=8-6. p+9=
b,+,*,2,7,5,9,45,b=2+7,b*5=,b=2+7. b*5=
m,-,*,4,2,9,2,18,m=4-2,m*9=,m=4-2. m*9=
e,-,-,3,5,2,-2,-4,e=3-5,e-2=,e=3-5. e-2=
a,*,*,9,7,1,63,63,a=9*7,a*1=,a=9*7. a*1=
w,+,-,9,8,9,17,8,w=9+8,w-9=,w=9+8. w-9=
l,-,*,9,1,2,8,16,l=9-1,l*2=,l=9-1. l*2=
x,//,-,8,3,6,2,-4,x=8//3,x-6=,x=8//3. x-6=
i,-,//,8,4,4,4,1,i=8-4,i//4=,i=8-4. i//4=
b,//,+,7,4,7,1,8,b=7//4,b+7=,b=7//4. b+7=
u,+,+,9,7,2,16,18,u=9+7,u+2=,u=9+7. u+2=
y,//,*,7,6,8,1,8,y=7//6,y*8=,y=7//6. y*8=
d,+,-,5,8,3,13,10,d=5+8,d-3=,d=5+8. d-3=
p,-,//,3,4,4,-1,-1,p=3-4,p//4=,p=3-4. p//4=
m,*,-,7,3,3,21,18,m=7*3,m-3=,m=7*3. m-3=
c,+,-,6,4,1,10,9,c=6+4,c-1=,c=6+4. c-1=
k,+,//,4,4,1,8,8,k=4+4,k//1=,k=4+4. k//1=
y,*,-,4,6,2,24,22,y=4*6,y-2=,y=4*6. y-2=
k,//,+,8,3,1,2,3,k=8//3,k+1=,k=8//3. k+1=
d,+,+,8,2,2,10,12,d=8+2,d+2=,d=8+2. d+2=
w,+,+,1,2,4,3,7,w=1+2,w+4=,w=1+2. w+4=
g,+,-,9,4,8,13,5,g=9+4,g-8=,g=9+4. g-8=
k,//,*,9,4,2,2,4,k=9//4,k*2=,k=9//4. k*2=
i,+,+,2,2,3,4,7,i=2+2,i+3=,i=2+2. i+3=
c,-,//,4,6,2,-2,-1,c=4-6,c//2=,c=4-6. c//2=
z,-,-,1,3,8,-2,-10,z=1-3,z-8=,z=1-3. z-8=
l,*,*,9,3,6,27,162,l=9*3,l*6=,l=9*3. l*6=
v,-,*,1,5,2,-4,-8,v=1-5,v*2=,v=1-5. v*2=
k,//,*,1,1,1,1,1,k=1//1,k*1=,k=1//1. k*1=
a,-,*,8,4,8,4,32,a=8-4,a*8=,a=8-4. a*8=
b,+,//,6,7,9,13,1,b=6+7,b//9=,b=6+7. b//9=
a,-,-,7,6,7,1,-6,a=7-6,a-7=,a=7-6. a-7=
a,*,//,9,8,2,72,36,a=9*8,a//2=,a=9*8. a//2=
b,*,-,4,3,1,12,11,b=4*3,b-1=,b=4*3. b-1=
m,*,*,4,1,3,4,12,m=4*1,m*3=,m=4*1. m*3=
k,*,-,4,4,6,16,10,k=4*4,k-6=,k=4*4. k-6=
b,-,*,8,5,3,3,9,b=8-5,b*3=,b=8-5. b*3=
t,+,+,9,6,4,15,19,t=9+6,t+4=,t=9+6. t+4=
u,-,*,5,3,1,2,2,u=5-3,u*1=,u=5-3. u*1=
e,*,*,9,2,4,18,72,e=9*2,e*4=,e=9*2. e*4=
n,*,-,5,8,5,40,35,n=5*8,n-5=,n=5*8. n-5=
e,-,*,6,3,2,3,6,e=6-3,e*2=,e=6-3. e*2=
o,*,-,5,6,1,30,29,o=5*6,o-1=,o=5*6. o-1=
p,*,-,6,9,8,54,46,p=6*9,p-8=,p=6*9. p-8=
y,+,-,5,7,3,12,9,y=5+7,y-3=,y=5+7. y-3=
g,*,+,9,6,3,54,57,g=9*6,g+3=,g=9*6. g+3=
j,-,*,5,3,3,2,6,j=5-3,j*3=,j=5-3. j*3=
x,+,//,2,8,4,10,2,x=2+8,x//4=,x=2+8. x//4=
m,*,//,9,6,8,54,6,m=9*6,m//8=,m=9*6. m//8=
q,-,-,3,7,9,-4,-13,q=3-7,q-9=,q=3-7. q-9=
h,*,+,3,1,6,3,9,h=3*1,h+6=,h=3*1. h+6=
m,+,+,8,3,2,11,13,m=8+3,m+2=,m=8+3. m+2=
x,+,//,1,7,7,8,1,x=1+7,x//7=,x=1+7. x//7=
s,*,//,9,9,8,81,10,s=9*9,s//8=,s=9*9. s//8=
b,//,*,6,5,5,1,5,b=6//5,b*5=,b=6//5. b*5=
a,//,-,4,5,1,0,-1,a=4//5,a-1=,a=4//5. a-1=
m,*,*,4,2,7,8,56,m=4*2,m*7=,m=4*2. m*7=
w,//,+,4,2,3,2,5,w=4//2,w+3=,w=4//2. w+3=
v,//,-,1,2,6,0,-6,v=1//2,v-6=,v=1//2. v-6=
d,//,//,8,9,9,0,0,d=8//9,d//9=,d=8//9. d//9=
k,-,*,1,1,4,0,0,k=1-1,k*4=,k=1-1. k*4=
l,+,//,8,1,6,9,1,l=8+1,l//6=,l=8+1. l//6=
b,-,*,5,9,9,-4,-36,b=5-9,b*9=,b=5-9. b*9=
o,-,*,3,4,8,-1,-8,o=3-4,o*8=,o=3-4. o*8=
g,*,-,1,7,5,7,2,g=1*7,g-5=,g=1*7. g-5=
n,-,//,4,3,8,1,0,n=4-3,n//8=,n=4-3. n//8=
a,*,//,4,3,5,12,2,a=4*3,a//5=,a=4*3. a//5=
h,-,//,7,9,1,-2,-2,h=7-9,h//1=,h=7-9. h//1=
c,+,-,7,4,4,11,7,c=7+4,c-4=,c=7+4. c-4=
z,//,*,8,5,4,1,4,z=8//5,z*4=,z=8//5. z*4=
m,*,//,7,7,8,49,6,m=7*7,m//8=,m=7*7. m//8=
r,//,//,6,1,2,6,3,r=6//1,r//2=,r=6//1. r//2=
b,-,//,3,7,4,-4,-1,b=3-7,b//4=,b=3-7. b//4=
e,//,//,6,1,5,6,1,e=6//1,e//5=,e=6//1. e//5=
y,-,*,7,3,4,4,16,y=7-3,y*4=,y=7-3. y*4=
k,//,*,6,2,9,3,27,k=6//2,k*9=,k=6//2. k*9=
a,//,//,4,5,8,0,0,a=4//5,a//8=,a=4//5. a//8=
z,+,-,6,8,4,14,10,z=6+8,z-4=,z=6+8. z-4=
u,*,+,7,6,3,42,45,u=7*6,u+3=,u=7*6. u+3=
e,//,+,3,4,8,0,8,e=3//4,e+8=,e=3//4. e+8=
w,+,*,5,7,4,12,48,w=5+7,w*4=,w=5+7. w*4=
o,*,-,7,3,1,21,20,o=7*3,o-1=,o=7*3. o-1=
k,//,//,6,3,6,2,0,k=6//3,k//6=,k=6//3. k//6=
q,//,*,4,5,6,0,0,q=4//5,q*6=,q=4//5. q*6=
t,*,+,6,2,6,12,18,t=6*2,t+6=,t=6*2. t+6=
z,*,-,9,1,8,9,1,z=9*1,z-8=,z=9*1. z-8=
i,//,-,8,6,9,1,-8,i=8//6,i-9=,i=8//6. i-9=
n,//,*,9,1,7,9,63,n=9//1,n*7=,n=9//1. n*7=
c,-,//,3,1,9,2,0,c=3-1,c//9=,c=3-1. c//9=
m,-,//,6,9,4,-3,-1,m=6-9,m//4=,m=6-9. m//4=
m,-,*,8,1,8,7,56,m=8-1,m*8=,m=8-1. m*8=
r,+,+,2,1,3,3,6,r=2+1,r+3=,r=2+1. r+3=
w,-,//,3,7,5,-4,-1,w=3-7,w//5=,w=3-7. w//5=
d,*,*,5,8,4,40,160,d=5*8,d*4=,d=5*8. d*4=
w,-,-,9,4,4,5,1,w=9-4,w-4=,w=9-4. w-4=
s,*,*,4,8,2,32,64,s=4*8,s*2=,s=4*8. s*2=
e,//,*,2,2,8,1,8,e=2//2,e*8=,e=2//2. e*8=
b,-,-,1,2,2,-1,-3,b=1-2,b-2=,b=1-2. b-2=
y,-,*,3,7,9,-4,-36,y=3-7,y*9=,y=3-7. y*9=
r,+,+,2,5,3,7,10,r=2+5,r+3=,r=2+5. r+3=
h,+,//,5,6,7,11,1,h=5+6,h//7=,h=5+6. h//7=
z,-,+,1,2,4,-1,3,z=1-2,z+4=,z=1-2. z+4=
g,*,//,8,8,2,64,32,g=8*8,g//2=,g=8*8. g//2=
t,//,//,1,8,1,0,0,t=1//8,t//1=,t=1//8. t//1=
u,+,-,6,6,3,12,9,u=6+6,u-3=,u=6+6. u-3=
j,//,-,8,8,2,1,-1,j=8//8,j-2=,j=8//8. j-2=
w,-,//,2,2,1,0,0,w=2-2,w//1=,w=2-2. w//1=
z,*,+,1,2,2,2,4,z=1*2,z+2=,z=1*2. z+2=
p,-,*,6,6,5,0,0,p=6-6,p*5=,p=6-6. p*5=
i,//,+,4,9,1,0,1,i=4//9,i+1=,i=4//9. i+1=
w,-,+,4,1,7,3,10,w=4-1,w+7=,w=4-1. w+7=
c,//,-,3,6,1,0,-1,c=3//6,c-1=,c=3//6. c-1=
c,*,*,9,5,7,45,315,c=9*5,c*7=,c=9*5. c*7=
z,-,+,3,9,8,-6,2,z=3-9,z+8=,z=3-9. z+8=
z,-,//,3,9,7,-6,-1,z=3-9,z//7=,z=3-9. z//7=
n,//,*,9,3,7,3,21,n=9//3,n*7=,n=9//3. n*7=
k,-,-,9,4,1,5,4,k=9-4,k-1=,k=9-4. k-1=
z,*,//,3,3,3,9,3,z=3*3,z//3=,z=3*3. z//3=
p,+,+,8,2,7,10,17,p=8+2,p+7=,p=8+2. p+7=
z,+,+,8,6,8,14,22,z=8+6,z+8=,z=8+6. z+8=
n,//,+,7,3,9,2,11,n=7//3,n+9=,n=7//3. n+9=
c,+,+,5,8,6,13,19,c=5+8,c+6=,c=5+8. c+6=
b,+,-,8,6,5,14,9,b=8+6,b-5=,b=8+6. b-5=
r,-,//,9,2,1,7,7,r=9-2,r//1=,r=9-2. r//1=
u,-,//,1,7,9,-6,-1,u=1-7,u//9=,u=1-7. u//9=
h,*,+,3,4,5,12,17,h=3*4,h+5=,h=3*4. h+5=
z,+,*,2,6,8,8,64,z=2+6,z*8=,z=2+6. z*8=
u,*,//,3,9,6,27,4,u=3*9,u//6=,u=3*9. u//6=
w,-,*,9,5,2,4,8,w=9-5,w*2=,w=9-5. w*2=
g,//,+,7,6,8,1,9,g=7//6,g+8=,g=7//6. g+8=
q,-,*,9,5,6,4,24,q=9-5,q*6=,q=9-5. q*6=
i,*,-,8,8,7,64,57,i=8*8,i-7=,i=8*8. i-7=
p,*,//,1,6,5,6,1,p=1*6,p//5=,p=1*6. p//5=
b,-,*,2,1,4,1,4,b=2-1,b*4=,b=2-1. b*4=
j,+,+,6,9,8,15,23,j=6+9,j+8=,j=6+9. j+8=
x,*,-,8,2,5,16,11,x=8*2,x-5=,x=8*2. x-5=
b,-,+,2,3,8,-1,7,b=2-3,b+8=,b=2-3. b+8=
z,*,+,1,2,7,2,9,z=1*2,z+7=,z=1*2. z+7=
t,*,-,9,1,9,9,0,t=9*1,t-9=,t=9*1. t-9=
u,+,-,5,1,2,6,4,u=5+1,u-2=,u=5+1. u-2=
s,-,-,6,6,8,0,-8,s=6-6,s-8=,s=6-6. s-8=
r,//,+,5,1,2,5,7,r=5//1,r+2=,r=5//1. r+2=
p,*,-,6,9,4,54,50,p=6*9,p-4=,p=6*9. p-4=
i,*,//,3,1,1,3,3,i=3*1,i//1=,i=3*1. i//1=
s,-,-,1,8,8,-7,-15,s=1-8,s-8=,s=1-8. s-8=
x,*,//,2,8,1,16,16,x=2*8,x//1=,x=2*8. x//1=
j,-,//,9,1,2,8,4,j=9-1,j//2=,j=9-1. j//2=
d,*,-,9,6,4,54,50,d=9*6,d-4=,d=9*6. d-4=
j,-,*,1,8,7,-7,-49,j=1-8,j*7=,j=1-8. j*7=
s,-,//,5,4,5,1,0,s=5-4,s//5=,s=5-4. s//5=
v,//,-,9,2,9,4,-5,v=9//2,v-9=,v=9//2. v-9=
v,+,-,3,2,5,5,0,v=3+2,v-5=,v=3+2. v-5=
v,//,//,3,6,1,0,0,v=3//6,v//1=,v=3//6. v//1=
q,//,*,9,5,2,1,2,q=9//5,q*2=,q=9//5. q*2=
p,-,-,6,1,1,5,4,p=6-1,p-1=,p=6-1. p-1=
d,//,*,7,5,9,1,9,d=7//5,d*9=,d=7//5. d*9=
w,-,+,9,9,6,0,6,w=9-9,w+6=,w=9-9. w+6=
x,+,*,3,3,9,6,54,x=3+3,x*9=,x=3+3. x*9=
h,*,+,2,9,7,18,25,h=2*9,h+7=,h=2*9. h+7=
s,-,+,7,1,4,6,10,s=7-1,s+4=,s=7-1. s+4=
a,//,//,9,8,4,1,0,a=9//8,a//4=,a=9//8. a//4=
n,//,+,1,3,5,0,5,n=1//3,n+5=,n=1//3. n+5=
d,//,*,1,1,1,1,1,d=1//1,d*1=,d=1//1. d*1=
d,//,//,5,2,7,2,0,d=5//2,d//7=,d=5//2. d//7=
v,+,-,2,6,7,8,1,v=2+6,v-7=,v=2+6. v-7=
w,+,-,5,2,2,7,5,w=5+2,w-2=,w=5+2. w-2=
l,-,//,1,4,1,-3,-3,l=1-4,l//1=,l=1-4. l//1=
f,//,+,5,9,1,0,1,f=5//9,f+1=,f=5//9. f+1=
n,+,+,7,5,2,12,14,n=7+5,n+2=,n=7+5. n+2=
r,-,//,4,9,5,-5,-1,r=4-9,r//5=,r=4-9. r//5=
y,*,//,5,3,3,15,5,y=5*3,y//3=,y=5*3. y//3=
p,+,+,2,4,1,6,7,p=2+4,p+1=,p=2+4. p+1=
y,+,*,1,5,3,6,18,y=1+5,y*3=,y=1+5. y*3=
z,+,-,9,8,1,17,16,z=9+8,z-1=,z=9+8. z-1=
y,//,-,2,8,2,0,-2,y=2//8,y-2=,y=2//8. y-2=
t,*,+,5,5,6,25,31,t=5*5,t+6=,t=5*5. t+6=
t,-,+,3,5,5,-2,3,t=3-5,t+5=,t=3-5. t+5=
f,-,-,3,4,3,-1,-4,f=3-4,f-3=,f=3-4. f-3=
t,-,-,6,8,7,-2,-9,t=6-8,t-7=,t=6-8. t-7=
b,+,//,2,1,8,3,0,b=2+1,b//8=,b=2+1. b//8=
n,*,+,1,5,6,5,11,n=1*5,n+6=,n=1*5. n+6=
o,-,//,1,7,1,-6,-6,o=1-7,o//1=,o=1-7. o//1=
r,*,*,4,6,3,24,72,r=4*6,r*3=,r=4*6. r*3=
a,+,+,8,4,3,12,15,a=8+4,a+3=,a=8+4. a+3=
p,*,*,4,7,2,28,56,p=4*7,p*2=,p=4*7. p*2=
f,//,*,3,1,3,3,9,f=3//1,f*3=,f=3//1. f*3=
v,//,+,8,4,8,2,10,v=8//4,v+8=,v=8//4. v+8=
t,-,*,6,8,5,-2,-10,t=6-8,t*5=,t=6-8. t*5=
g,+,-,6,2,3,8,5,g=6+2,g-3=,g=6+2. g-3=
r,-,//,2,2,7,0,0,r=2-2,r//7=,r=2-2. r//7=
v,+,//,5,6,6,11,1,v=5+6,v//6=,v=5+6. v//6=
f,+,+,1,7,9,8,17,f=1+7,f+9=,f=1+7. f+9=
q,//,-,7,8,4,0,-4,q=7//8,q-4=,q=7//8. q-4=
h,-,//,3,3,5,0,0,h=3-3,h//5=,h=3-3. h//5=
u,+,+,9,3,4,12,16,u=9+3,u+4=,u=9+3. u+4=
y,*,-,7,9,9,63,54,y=7*9,y-9=,y=7*9. y-9=
s,-,-,9,3,1,6,5,s=9-3,s-1=,s=9-3. s-1=
q,*,+,8,5,9,40,49,q=8*5,q+9=,q=8*5. q+9=
i,//,//,3,5,1,0,0,i=3//5,i//1=,i=3//5. i//1=
d,-,-,8,7,7,1,-6,d=8-7,d-7=,d=8-7. d-7=
i,*,//,8,8,7,64,9,i=8*8,i//7=,i=8*8. i//7=
i,//,-,7,5,4,1,-3,i=7//5,i-4=,i=7//5. i-4=
f,*,*,2,1,6,2,12,f=2*1,f*6=,f=2*1. f*6=
y,//,*,5,9,8,0,0,y=5//9,y*8=,y=5//9. y*8=
n,*,+,6,5,1,30,31,n=6*5,n+1=,n=6*5. n+1=
z,//,*,9,7,1,1,1,z=9//7,z*1=,z=9//7. z*1=
t,+,*,1,2,3,3,9,t=1+2,t*3=,t=1+2. t*3=
c,//,//,3,5,1,0,0,c=3//5,c//1=,c=3//5. c//1=
d,//,//,7,2,6,3,0,d=7//2,d//6=,d=7//2. d//6=
w,*,//,8,7,2,56,28,w=8*7,w//2=,w=8*7. w//2=
s,-,*,7,5,8,2,16,s=7-5,s*8=,s=7-5. s*8=
j,-,+,5,2,5,3,8,j=5-2,j+5=,j=5-2. j+5=
q,*,//,7,7,6,49,8,q=7*7,q//6=,q=7*7. q//6=
c,*,*,1,7,1,7,7,c=1*7,c*1=,c=1*7. c*1=
h,*,*,8,7,8,56,448,h=8*7,h*8=,h=8*7. h*8=
l,-,//,2,7,9,-5,-1,l=2-7,l//9=,l=2-7. l//9=
c,*,//,2,2,3,4,1,c=2*2,c//3=,c=2*2. c//3=
k,-,*,6,6,4,0,0,k=6-6,k*4=,k=6-6. k*4=
p,+,-,4,1,3,5,2,p=4+1,p-3=,p=4+1. p-3=
r,*,-,4,1,1,4,3,r=4*1,r-1=,r=4*1. r-1=
r,+,-,3,7,6,10,4,r=3+7,r-6=,r=3+7. r-6=
b,//,//,4,9,8,0,0,b=4//9,b//8=,b=4//9. b//8=
b,-,-,9,6,3,3,0,b=9-6,b-3=,b=9-6. b-3=
